Player,weighted_pred,scaled_pred,adj_overall,total_min,adj_scaled,pred_scaled,pred_scaled_int
Youri Tielemans,83.21055984357476,1.829027417092852,84,2631,0.08112155626799966,0.06958917240742402,0.0914513708546426
Çağlar Söyüncü,80.36283346383193,0.7536401457550992,80,2497,0.022688329801300533,0.027988712291747486,0.03768200728775496
James Maddison,82.50718939617518,1.5634135464804102,82,2459,0.0519049430346501,0.05931412124670321,0.07817067732402051
Harvey Barnes,80.59168375619076,0.8400609104729625,81,2101,0.037296636417975426,0.03133182753184105,0.04200304552364813
Daniel Amartey,77.79331881579388,-0.216685994309513,76,2123,-0.03574489666539882,-0.00954754554282955,-0.01083429971547565
Kiernan Dewsbury Hall,77.23242227834497,-0.4284974243684822,71,2105,-0.10878642974877284,-0.01774129414211445,-0.02142487121842411
Timothy Castagne,76.32522866701183,-0.7710810620404039,79,2127,0.00808002318462564,-0.030993856577157475,-0.038554053102020196
Luke Thomas,76.54010952069284,-0.6899355782093288,71,1912,-0.10878642974877284,-0.027854811180532568,-0.034496778910466444
Jamie Vardy,79.10063639958466,0.27699650946094784,86,1806,0.11033816950134945,0.009550150566556503,0.013849825473047393
Wilfred Ndidi,77.33410216370908,-0.3901000364559831,85,1618,0.09572986288467455,-0.01625592319996727,-0.019505001822799156
Ademola Lookman,80.75971383862912,0.9035141316607256,77,1453,-0.021136590048723924,0.03378646249692574,0.04517570658303628
Jonny Evans,79.46765809763349,0.4155949595066031,80,1348,0.022688329801300533,0.014911716066626557,0.020779747975330155
